num_apps,trace,window_size_sec,allocator,cost_usd,vms
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
1,static,300,conlloovia,0.07083333333333333,4.0
